path,bytes,sha256,baseline_status
examples/write_probe.rs,3885,f3cc0a69f9739615cf46a8c7a0b40117c0e08cada9f95db7dec958786e022d69,unchanged
research/2026-09-08-youtube-discovery.md,9192,9691a39b9cb7dcd9b9450edc9ef5fc9fb52717b249dcf275734df3939b9aa8eb,unchanged
research/hp-lpg-escalation.md,31766,08a804a60188c583233196ac76c986b684b07bdf07b7746cddb2a6476a25b681,unchanged
rustfmt.toml,16,7e1c845eb4c10735ee1060760592a18b47a53aaf45e63b7e0932c005b523a6ea,unchanged
scripts/check-map.py,2051,545a484f925b620a0e674c378aca36c005e3805c2d257b4c5244ddb5fd5fedb1,new
scripts/smoke-menubar.swift,3387,386d0c88b6098e750a8542b1592310f5465d5c404bb0ccb99a365e3f5c70d74d,unchanged
scripts/smoke-winamp.swift,3620,633fb9078effb0c1fe43e4b0f470bc9996cb9fbc29cc55d57e08b55e8704280d,unchanged
src/api/convert.rs,8955,814a8d232783a8bf5353fc096facf2892482eb0b74c6b10ef387799883248117,unchanged
src/api/discovery/entries.rs,7669,2814671578fefb2b13e52472cf04eb9abe80247fba8e3830cd1fa8530a3a10e1,new
src/api/discovery/mod.rs,151,ab74b96220b766618c4f151d26465c16f9fe63fd47570db3c1a5bab06dee6b8f,new
src/api/discovery/renderers.rs,11339,f64c26cae52116e7563407a57b02451bdc9dafe3fddedaee6d27025a303d8107,new
src/api/history.rs,4959,107220ec94fbea36370470b36997ecbcd89c9c5d577bb81713e1589fe961d718,edited
src/api/lyrics.rs,5679,4b05cb6ca9bfdf36068eed76599635de1602ab5a11cbf42656e18d8858f7ea0c,edited
src/api/mod.rs,13345,0cf99c0f2c96fa28505876aeb4a06051b4866158b3f5acf366506ba9f15c4c6b,unchanged
src/api/official/endpoints.rs,3904,a53aee2f7827872554e237624a9ca6222e9e1d4a3452233fdce766f638b5ce69,new
src/api/official/library.rs,10942,03e0c5876714b64ff2ebbdcba4b8eaf01e878475c6f12df27f299e66896d4491,new
src/api/official/mod.rs,328,8eb7b47f772f406d63cda8d63d8d7450aad62819c102088f2991f498eb6c947d,new
src/api/official/transport.rs,4564,7c8f010ff08692b1064bb59e68edc352cf4244c4a625728c2498498b5e033c30,new
src/api/search_parse.rs,15630,a3a01a95544b286ac8258887045faefc2559e3a76189827c674bf4d0ad236ca1,unchanged
